onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
38,法師温泉,群馬・みなかみ,https://www.photo-ac.com/main/search?q=%E6%B3%95%E5%B8%AB%E6%B8%A9%E6%B3%89,未,写真AC/法師温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
39,松之山温泉,新潟・十日町,https://www.photo-ac.com/main/search?q=%E6%9D%BE%E4%B9%8B%E5%B1%B1%E6%B8%A9%E6%B3%89,未,写真AC/松之山温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
40,白骨温泉,長野・松本,https://www.photo-ac.com/main/search?q=%E7%99%BD%E9%AA%A8%E6%B8%A9%E6%B3%89,未,写真AC/白骨温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
41,渋温泉 長野,長野・山ノ内,https://www.photo-ac.com/main/search?q=%E6%B8%8B%E6%B8%A9%E6%B3%89%20%E9%95%B7%E9%87%8E,未,写真AC/渋温泉 長野.jpg,hero,写真AC,AC Works License(クレジット不要),
42,野沢温泉,長野・野沢温泉村,https://www.photo-ac.com/main/search?q=%E9%87%8E%E6%B2%A2%E6%B8%A9%E6%B3%89,未,写真AC/野沢温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
43,銀山温泉,山形・尾花沢,https://www.photo-ac.com/main/search?q=%E9%8A%80%E5%B1%B1%E6%B8%A9%E6%B3%89,未,写真AC/銀山温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
44,玉造温泉,島根・松江,https://www.photo-ac.com/main/search?q=%E7%8E%89%E9%80%A0%E6%B8%A9%E6%B3%89,未,写真AC/玉造温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
45,龍神温泉,和歌山・田辺,https://www.photo-ac.com/main/search?q=%E9%BE%8D%E7%A5%9E%E6%B8%A9%E6%B3%89,未,写真AC/龍神温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
46,豊富温泉 北海道,北海道・豊富,https://www.photo-ac.com/main/search?q=%E8%B1%8A%E5%AF%8C%E6%B8%A9%E6%B3%89%20%E5%8C%97%E6%B5%B7%E9%81%93,未,写真AC/豊富温泉 北海道.jpg,hero,写真AC,AC Works License(クレジット不要),
47,奴留湯温泉,熊本・小国,https://www.photo-ac.com/main/search?q=%E5%A5%B4%E7%95%99%E6%B9%AF%E6%B8%A9%E6%B3%89,未,写真AC/奴留湯温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
48,城崎温泉,兵庫・豊岡,https://www.photo-ac.com/main/search?q=%E5%9F%8E%E5%B4%8E%E6%B8%A9%E6%B3%89,未,写真AC/城崎温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
49,登別温泉,北海道・登別,https://www.photo-ac.com/main/search?q=%E7%99%BB%E5%88%A5%E6%B8%A9%E6%B3%89,未,写真AC/登別温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
50,ニセコ五色温泉,北海道・ニセコ,https://www.photo-ac.com/main/search?q=%E3%83%8B%E3%82%BB%E3%82%B3%E4%BA%94%E8%89%B2%E6%B8%A9%E6%B3%89,未,写真AC/ニセコ五色温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
51,蔦温泉,青森・十和田,https://www.photo-ac.com/main/search?q=%E8%94%A6%E6%B8%A9%E6%B3%89,未,写真AC/蔦温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
52,後生掛温泉,秋田・鹿角,https://www.photo-ac.com/main/search?q=%E5%BE%8C%E7%94%9F%E6%8E%9B%E6%B8%A9%E6%B3%89,未,写真AC/後生掛温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
53,二岐温泉,福島・天栄,https://www.photo-ac.com/main/search?q=%E4%BA%8C%E5%B2%90%E6%B8%A9%E6%B3%89,未,写真AC/二岐温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
54,飯坂温泉,福島・福島,https://www.photo-ac.com/main/search?q=%E9%A3%AF%E5%9D%82%E6%B8%A9%E6%B3%89,未,写真AC/飯坂温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
55,那須湯本温泉,栃木・那須,https://www.photo-ac.com/main/search?q=%E9%82%A3%E9%A0%88%E6%B9%AF%E6%9C%AC%E6%B8%A9%E6%B3%89,未,写真AC/那須湯本温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
56,袋田温泉,茨城・大子,https://www.photo-ac.com/main/search?q=%E8%A2%8B%E7%94%B0%E6%B8%A9%E6%B3%89,未,写真AC/袋田温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
57,玉川温泉 埼玉,埼玉・ときがわ,https://www.photo-ac.com/main/search?q=%E7%8E%89%E5%B7%9D%E6%B8%A9%E6%B3%89%20%E5%9F%BC%E7%8E%89,未,写真AC/玉川温泉 埼玉.jpg,hero,写真AC,AC Works License(クレジット不要),
